Rank,Name,Country,Office,City,Lat,Lng
217,Mykola Bychok CSsR,Australia[u],"Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",Melbourne,-37.8142454,144.9631732
187,Giorgio Marengo IMC,Mongolia[o],Apostolic Prefect of Ulaanbaatar,Ulaanbaatar,47.9184676,106.9177016
201,Américo Aguiar,Portugal,Bishop of Setúbal,Setubal,38.5241783,-8.8932341
252,George Koovakad,India,"Prefect of the Dicastery for Interreligious Dialogue[d]
(Syro-Malabar Church)",India,22.3511148,78.6677428
249,Rolandas Makrickas,Lithuania,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,Lithuania,55.3500003,23.7499997
216,Frank Leo,Canada,Archbishop of Toronto,Toronto,43.6534817,-79.3839347
215,Baldassare Reina,Italy,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,Rome,41.8933203,12.4829321
200,François-Xavier Bustillo OFMConv,France[q],Bishop of Ajaccio,Ajaccio,41.9263991,8.7376029
181,Virgílio do Carmo da Silva SDB,East Timor,Archbishop of Díli,Dili,-8.5536809,125.5784093
184,Paulo Cezar Costa,Brazil,Archbishop of Brasília,Brasilia,-10.3333333,-53.2
138,Dieudonné Nzapalainga CSSp,Central African Republic,Archbishop of Bangui,Bangui,4.3635118,18.5835913
214,Roberto Repole,Italy,Archbishop of Turin and Bishop of Susa,Susa,45.1372115,7.0539789
227,José Tolentino de Mendonça,Portugal,Prefect of the Dicastery for Culture and Education[d],Portugal,39.6621648,-8.1353519
232,Mauro Gambetti OFMConv,Italy,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",Italy,42.6384261,12.674297
196,José Cobo Cano,Spain,Archbishop of Madrid,Madrid,40.4167047,-3.7035825
190,Pierbattista Pizzaballa OFM,Jerusalem[p],Latin Patriarch of Jerusalem,Jerusalem,31.7788242,35.2257626
251,Fabio Baggio CS,Italy,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,Italy,42.6384261,12.674297
174,Augusto Paolo Lojudice,Italy,Archbishop of Siena–Colle di Val d'Elsa–Montalcino and Bishop of Montepulciano–Chiusi–Pienza,Italy,42.6384261,12.674297
194,Grzegorz Ryś,Poland,Archbishop of Łódź,Lodz,51.7687323,19.4569911
195,Stephen Ameyu Martin Mulla,South Sudan,Archbishop of Juba,Juba,4.8459246,31.5959173
225,Konrad Krajewski,Poland,Almoner of His Holiness,Poland,52.215933,19.134422
213,Dominique Mathieu OFMConv,Iran[t],Archbishop of Tehran–Isfahan,Tehran,35.6892523,51.3896004
177,Peter Okpaleke,Nigeria,Bishop of Ekwulobia,Ekwulobia,6.3912663,7.5042965
218,Domenico Battaglia,Italy,Archbishop of Naples,Naples,40.8358846,14.2487679
242,Víctor Manuel Fernández,Argentina,Prefect of the Dicastery for the Doctrine of the Faith[d],Argentina,-34.9964963,-64.9672817
212,Jean-Paul Vesco OP,Algeria[s],Archbishop of Algiers,Algiers,36.7729333,3.0588445
193,Luis José Rueda Aparicio,Colombia,Archbishop of Bogotá,Bogota,4.7110053,-74.0720857
135,Soane Patita Paini Mafi,Tonga,Bishop of Tonga,Tonga,-19.9160819,-175.202642
183,Anthony Poola,India,Archbishop of Hyderabad,Hyderabad,17.360589,78.4740613
211,Ignace Bessi Dogbo,Ivory Coast,Archbishop of Abidjan,Abidjan,5.320357,-4.016107
210,Jaime Spengler OFM,Brazil,Archbishop of Porto Alegre,Porto Alegre,-30.0324999,-51.2303767
245,Ángel Fernández Artime SDB,Spain,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,Spain,39.3260685,-4.8379791
197,Protase Rugambwa,Tanzania,Archbishop of Tabora,Tabora,-5.1913822,32.5080629
164,Fridolin Ambongo Besungu OFMCap,Democratic Republic of the Congo,Archbishop of Kinshasa,Kinshasa,-4.3196982,15.3424196
140,Sérgio da Rocha,Brazil,Archbishop of São Salvador da Bahia,Sao Salvador da Bahia,-15.4244546,-40.4754567
199,Stephen Chow Sau-yan SJ,"China
(Hong Kong)[g]",Bishop of Hong Kong,Hong Kong,22.28552,114.15769
131,Daniel Sturla SDB,Uruguay,Archbishop of Montevideo,Motevideo,-33.0,-56.0
105,Baselios Cleemis,India,"Major Archbishop of Trivandrum
(Syro-Malankara Church)",Trivandru,22.0,79.0
208,Pablo Virgilio David,Philippines,Bishop of Kalookan,Kalookan,14.651348,120.9724002
176,Jean-Marc Aveline,France,Archbishop of Marseille,Marseille,43.2961743,5.3699525
121,Chibly Langlois,Haiti,Bishop of Les Cayes,Les Cayes,18.1944428,-73.7511601
170,Antoine Kambanda,Rwanda,Archbishop of Kigali,Kigali,-1.8859597,30.1296751
207,Tarcisio Isao Kikuchi SVD,Japan,Archbishop of Tokyo,Tokyo,35.6768601,139.7638947
192,Ángel Sixto Rossi SJ,Argentina,Archbishop of Córdoba,Cordoba,-31.4166867,-64.1834193
165,Jean-Claude Hollerich SJ,Luxembourg,Archbishop of Luxembourg,Luxembourg City,49.6112768,6.129799
112,Gérald Lacroix ISPX,Canada,Archbishop of Quebec,Quebec,52.4760892,-71.8258668
185,William Goh,Singapore,Archbishop of Singapore,Singapore,1.357107,103.8194992
10,Luis Antonio Tagle,Philippines,Pro-Prefect of the Dicastery for Evangelization[d],Philippines,12.7503486,122.7312101
206,Fernando Chomalí Garib,Chile,Archbishop of Santiago de Chile,Santiago de Chile,-33.4377756,-70.6504502
230,Mario Grech,Malta,Secretary-General of the Synod of Bishops,Malta,35.8885993,14.4476911
147,John Ribat MSC,Papua New Guinea,Archbishop of Port Moresby,Moresby,-9.4743301,147.1599504
191,Stephen Brislin,South Africa,Archbishop of Johannesburg,Johannesburg,-26.205,28.049722
209,Ladislav Nemet SVD,Serbia[r],Archbishop of Belgrade,Belgrade,44.8178131,20.4568974
101,Rainer Woelki,Germany,Archbishop of Cologne,Cologne,50.938361,6.959974
205,Luis Cabrera Herrera OFM,Ecuador,Archbishop of Guayaquil,Guayaquil,-2.1900563,-79.8868741
167,Matteo Zuppi,Italy,Archbishop of Bologna,Bologna,44.4938203,11.3426327
241,Claudio Gugerotti,Italy,Prefect of the Dicastery for the Eastern Churches[d],Italy,42.6384261,12.674297
11,Robert Francis Prevost OSA,United States,Prefect of the Dicastery for Bishops[d],Chiclayo,33.0321258,-117.0559661
6,Pietro Parolin,Italy,Secretary of State of His Holiness[d],Itay,43.2484478,13.7681633
158,Désiré Tsarahazana,Madagascar,Archbishop of Toamasina,Toamasina,-18.1553985,49.4098352
180,Robert W. McElroy,United States,Archbishop of Washington,Washington D.C.,38.8950368,-77.0365427
154,Angelo De Donatis,Italy,Major Penitentiary,Italy,42.6384261,12.674297
84,Reinhard Marx,Germany,Archbishop of Munich and Freising and Coordinator of the Council for the Economy[d],Munich,48.1371079,11.5753822
98,Wim Eijk,Netherlands,Archbishop of Utrecht,Utrecht,52.0907006,5.1215634
179,Filipe Neri Ferrão,India,Archbishop of Goa and Daman and Patriarch of the East Indies,"Goa, India",15.33333,74.08333
49,Péter Erdő,Hungary,Archbishop of Esztergom–Budapest,Budapest,47.4813896,19.1460941
204,Vicente Bokalic Iglic CM,Argentina,Archbishop of Santiago del Estero,Santiago del Estero,-27.6431016,-63.5408542
168,Cristóbal López Romero SDB,Morocco[m],Archbishop of Rabat,Rabat,34.0218454,-6.8408929
148,Joseph W. Tobin CSsR,United States,Archbishop of Newark,"Newark,",40.735657,-74.1723667
172,Jose Advincula OP,Philippines,Archbishop of Manila,Manila,14.5904492,120.9803621
219,Dominique Mamberti,France,Prefect of the Supreme Tribunal of the Apostolic Signatura[d],France,46.603354,1.8883335
237,Lazarus You Heung-sik,South Korea,Prefect of the Dicastery for the Clergy[d],South Korea,36.638392,127.6961188
198,Sebastian Francis,Malaysia,Bishop of Penang,Penang,5.4065013,100.2559077
186,Adalberto Martínez Flores,Paraguay,Archbishop of Asunción,Asuncion,-25.2800459,-57.6343814
178,Leonardo Ulrich Steiner OFM,Brazil,Archbishop of Manaus,Manaus,-3.1316333,-59.9825041
48,Philippe Barbarin,France,Archbishop emeritus of Lyon,Lyon,45.7578137,4.8320114
182,Oscar Cantoni,Italy,Bishop of Como,Como,45.9394759,9.1494101
162,Ignatius Suharyo Hardjoatmodjo,Indonesia,Archbishop of Jakarta,Jakarta,-6.1754049,106.827168
114,Orani João Tempesta OCist,Brazil,Archbishop of São Sebastião do Rio de Janeiro,Rio de Janeiro,-22.9110137,-43.2093727
76,Kurt Koch,Switzerland,Prefect of the Dicastery for Promoting Christian Unity[d],Switzerland,46.7985624,8.2319736
236,Arthur Roche,United Kingdom,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments[d],,54.7023545,-3.2765753
203,Carlos Castillo Mattasoglio,Peru,Archbishop of Lima,Lima,-12.0621065,-77.0365256
100,Timothy M. Dolan,United States,Archbishop of New York,New York,40.7127281,-74.0060152
82,Kazimierz Nycz,Poland,Archbishop emeritus of Warsaw,Warsaw,52.2319581,21.0067249
146,Carlos Aguiar Retes,Mexico,Archbishop of Mexico,Mexico City,19.4326296,-99.1331785
134,Arlindo Gomes Furtado,Cape Verde,Bishop of Santiago de Cabo Verde,Santiago de Cabo Verde,14.9171577,-23.4902584
104,James Michael Harvey,United States,Archpriest of the Papal Basilica of Saint Paul Outside the Walls,US,39.7837304,-100.445882
151,Anders Arborelius OCD,Sweden,Bishop of Stockholm,Stockholm,59.3251172,18.0710935
70,Odilo Scherer,Brazil,Archbishop of São Paulo,Sao Paulo,-23.5506507,-46.6333824
129,Kriengsak Kovitvanit,Thailand,Archbishop emeritus of Bangkok,Bangkok,13.7524938,100.4935089
69,Daniel DiNardo,United States,Archbishop emeritus of Galveston–Houston,Houston,29.7589382,-95.3676974
46,Josip Bozanić,Croatia,Archbishop emeritus of Zagreb,Zagreb,45.8130967,15.9772795
141,Blase J. Cupich,United States,Archbishop of Chicago,Chicago,41.8755616,-87.6244212
111,Leopoldo Brenes,Nicaragua,Archbishop of Managua,Managua,12.1544035,-86.2737642
160,Thomas Aquino Manyo Maeda,Japan,Archbishop of Osaka–Takamatsu,Osaka,34.6937569,135.5014539
68,Francisco Robles Ortega,Mexico,Archbishop of Guadalajara,Guadalajara,20.6720375,-103.338396
128,Charles Maung Bo SDB,Myanmar,Archbishop of Yangon,Yangon,16.7967129,96.1609916
45,Peter Turkson,Ghana,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,Ghana,8.0300284,-1.0800271
159,Giuseppe Petrocchi,Italy,Archbishop emeritus of L'Aquila,L’Aquila,42.1368853,13.610341
122,Manuel Clemente,Portugal,Patriarch emeritus of Lisbon,Lisbon,38.7077507,-9.1365919
123,Berhaneyesus Demerew Souraphiel CM,Ethiopia,"Archbishop of Addis Abeba
(Ethiopian Church)",Addis Abeba,9.0,38.75
163,Juan García Rodríguez,Cuba,Archbishop of San Cristóbal de la Habana,Havana,23.135305,-82.3589631
13,Louis Raphaël I Sako,Iraq,"Patriarch of Baghdad
(Chaldean Church)",Baghdad,33.3061701,44.3872213
75,Raymond Leo Burke,United States,Patron emeritus of the Sovereign Military Order of Malta,Malta,42.9711708,-73.792926
124,John Dew,New Zealand,Archbishop emeritus of Wellington,Wellington,-41.2887953,174.7772114
109,Gerhard Ludwig Müller,Germany,Prefect emeritus of the Congregation for the Doctrine of the Faith,,51.1638175,10.4478313
231,Marcello Semeraro,Italy,Prefect of the Dicastery for the Causes of Saints[d],,42.6384261,12.674297
171,Wilton Daniel Gregory,United States,Archbishop emeritus of Washington,Washington DC,38.8950368,-77.0365427
116,Mario Aurelio Poli,Argentina,Archbishop emeritus of Buenos Aires,Buenos Aires,-34.6083696,-58.4440583
83,Malcolm Ranjith,Sri Lanka,Archbishop of Colombo,Colombo,6.9388614,79.8542005
221,Kevin Farrell,United States[v],"Prefect of the Dicastery for the Laity, Family and Life[d] and Camerlengo of the Holy Roman Church",,39.7837304,-100.445882
166,Álvaro Leonel Ramazzini Imeri,Guatemala,Bishop of Huehuetenango,Huehuetenango,15.606418,-91.6442217
144,Jozef De Kesel,Belgium,Archbishop emeritus of Mechelen–Brussels,Brussels,50.8465573,4.351697
156,António Marto,Portugal,Bishop emeritus of Leiria–Fátima,Leiria,39.7437902,-8.8071119
91,João Braz de Aviz,Brazil,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,,-10.3333333,-53.2
99,Giuseppe Betori,Italy,Archbishop emeritus of Florence,Florence,43.7697955,11.2556404
243,Emil Paul Tscherrig,Switzerland,Apostolic Nuncio emeritus to Italy and San Marino,San Marino,47.6689772,8.6128703
96,Thomas Collins,Canada,Archbishop emeritus of Toronto,Toronto,43.6534817,-79.3839347
228,Michael Czerny SJ,Canada[y],Prefect of the Dicastery for Promoting Integral Human Development[d],,61.0666922,-107.991707
130,Francesco Montenegro,Italy,Archbishop emeritus of Agrigento,Agrigento,37.3122991,13.57465
150,Juan José Omella,Spain,Archbishop of Barcelona,Barcelona,41.3828939,2.1774322
8,Fernando Filoni,Italy,Grand Master of the Order of the Holy Sepulchre,,42.6384261,12.674297
244,Christophe Pierre,France,Apostolic Nuncio to the United States,,46.603354,1.8883335
220,Mario Zenari,Italy,Apostolic Nuncio to Syria,,42.6384261,12.674297
71,John Njue,Kenya,Archbishop emeritus of Nairobi,Nairobi,-1.3026148,36.828842
119,Philippe Ouédraogo,Burkina Faso,Archbishop emeritus of Ouagadougou,Ouagadogou,12.306434,-1.506361
113,Jean-Pierre Kutwa,Ivory Coast,Archbishop emeritus of Abidjan,Abidjan,5.320357,-4.016107
110,Vincent Nichols,United Kingdom,Archbishop of Westminster,Westminster,51.5004439,-0.1265398
54,Antonio Cañizares Llovera,Spain,Archbishop emeritus of Valencia,Valencia,39.4697065,-0.3763353
23,Vinko Puljić,Bosnia and Herzegovina,Archbishop emeritus of Vrhbosna,Vrhbosna,44.25,17.83333
250,Timothy Radcliffe OP,United Kingdom,Master emeritus of the Order of Preachers,,54.7023545,-3.2765753
155,Joseph Coutts,Pakistan,Archbishop emeritus of Karachi,Karachi,24.8546842,67.0207055
60,Stanisław Ryłko,Poland,Archpriest of the Papal Basilica of Saint Mary Major,,52.215933,19.134422
73,Robert Sarah,Guinea,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,,10.7226226,-10.7083587
139,Carlos Osoro Sierra,Spain,Archbishop emeritus of Madrid,Madrid,40.4167047,-3.7035825
